city,zipcode
lincoln,01773
boston,02108
boston,02109
boston,02110
boston,02111
boston,02113
boston,02114
boston,02115
boston,02116
boston,02118
boston,02119
boston,02120
boston,02121
boston,02122
boston,02124
boston,02125
boston,02126
boston,02127
boston,02128
boston,02129
boston,02130
boston,02131
boston,02132
boston,02133
boston,02134
boston,02135
boston,02136
cambridge,02138
cambridge,02139
cambridge,02140
cambridge,02141
cambridge,02142
somerville,02143
somerville,02144
somerville,02145
malden,02148
everett,02149
medford,02155
boston,02163
cambridge,02163
quincy,02169
quincy,02170
quincy,02171
boston,02199
boston,02203
boston,02210
boston,02215
boston,02222
lexington,02420
lexington,02421
brookline,02445
brookline,02446
waltham,02451
waltham,02452
waltham,02453
watertown,02472
arlington,02474
arlington,02476
belmont,02478
needham,02492
needham,02494
weston,02493
wellesley,02481
wellesley,02482
newton,02458
newton,02459
newton,02460
newton,02461
newton,02462
newton,02464
newton,02465
